Source,Target
exit2,stairs1
exit2,elevator1
stairs1,hallway2
elevator1,hallway2
elevator1,hallway3
hallway3,stairs2
stairs2,exit1
elevator1,hallway1
hallway1,hallway4
hallway1,hallway6
hallway4,elevator2
hallway4,stairs3
hallway4,hallway5
hallway6,stairs4
hallway6,hallway7
hallway7,ramp
stairs4,hallway8
ramp,hallway8
ramp,stairs5
ramp,elevator3
stairs4,stairs5
stairs4,elevator3
hallway8,elevator3
hallway8,stairs5
hallway8,hallway9
hallway9,washroom
hallway9,hallway10
hallway9,hallway11
hallway11,stairs6
hallway11,hallway12
hallway12,exit3
exit4,hallway6
exit4,hallway7
exit4,stairs4
exit4,sidewalk3
sidewalk3,sidewalk2
sidewalk3,sidewalk6
sidewalk3,sidewalk5
sidewalk2,sidewalk1
sidewalk2,sidewalk5
sidewalk5,sidewalk4
sidewalk5,sidewalk6
sidewalk6,sidewalk7
sidewalk7,sidewalk8
sidewalk8,sidewalk9
sidewalk9,exit3
lotB1,sidewalk1
lotB2,sidewalk4
lotB3,sidewalk4
starbucks,hallway12
hallway1,hallway15
hallway15,hallway6
hallway15,hallway14
hallway14,LP
LP,hallway13
hallway13,hallway6
hallway13,exit4
